图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
明朝那些事儿（贰）, : 万国来朝 ,http://book.douban.com/subject/1949338/,http://img3.douban.com/lpic/s4428714.jpg,当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,8.9,36737
牧羊少年奇幻之旅,O Alquimista,http://book.douban.com/subject/3608208/,http://img3.doubanio.com/lpic/s3668327.jpg,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.7,37338
地下铁,,http://book.douban.com/subject/1056733/,http://img3.douban.com/lpic/s1672971.jpg,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,38146
山楂树之恋,,http://book.douban.com/subject/2243213/,http://img3.doubanio.com/lpic/s2684486.jpg,艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,7.9,39565
蔡康永的说话之道,,http://book.douban.com/subject/5317075/,http://img3.douban.com/lpic/s4578461.jpg,蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,7.2,42480
羊脂球,,http://book.douban.com/subject/1205370/,http://img3.douban.com/lpic/s1469280.jpg,莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.00元,8.0,38793
撒哈拉的故事,,http://book.douban.com/subject/1060068/,http://img3.douban.com/lpic/s1066570.jpg,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,34754
东方快车谋杀案,Murder on the Orient Express,http://book.douban.com/subject/1827374/,http://img3.doubanio.com/lpic/s1765799.jpg,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,28744
鲁滨逊漂流记,,http://book.douban.com/subject/1016003/,http://img3.doubanio.com/lpic/s1242786.jpg,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,7.9,38267
巴黎圣母院,Notre-Dame de Paris,http://book.douban.com/subject/1024197/,http://img3.douban.com/lpic/s1609162.jpg,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.3,36701
从你的全世界路过, : 让所有人心动的故事 ,http://book.douban.com/subject/25747921/,http://img3.douban.com/lpic/s27102925.jpg,张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元,7.5,39718
人生若只如初见, : 古典诗词的美丽与哀愁 ,http://book.douban.com/subject/1856285/,http://img3.doubanio.com/lpic/s1787057.jpg,安意如 / 天津教育出版社 / 2006-8 / 23.80元,7.3,39980
安徒生童话故事集,,http://book.douban.com/subject/1046209/,http://img3.douban.com/lpic/s1034062.jpg,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.1,33624
当我谈跑步时我谈些什么,走ることについて語るときに僕の語ること,http://book.douban.com/subject/3369600/,http://img3.douban.com/lpic/s3507580.jpg,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1,36718
年华是无效信,,http://book.douban.com/subject/1227838/,http://img3.doubanio.com/lpic/s2660837.jpg,落落 / 春风文艺出版社 / 2005-2 / 20.00元,7.6,38019
会有天使替我爱你,,http://book.douban.com/subject/1291760/,http://img3.douban.com/lpic/s1320494.jpg,明晓溪 / 新世界出版社 / 2005-5 / 20.00元,6.8,40875
沉默的大多数, : 王小波杂文随笔全编 ,http://book.douban.com/subject/1054685/,http://img3.doubanio.com/lpic/s1447349.jpg,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,32928
泡沫之夏,,http://book.douban.com/subject/1596305/,http://img3.douban.com/lpic/s1914522.jpg,明晓溪 / 新世界出版社 / 2006-3 / 20.00元,7.0,39479
月亮忘記了,,http://book.douban.com/subject/1358873/,http://img3.doubanio.com/lpic/s1385508.jpg,幾米 / 格林 / 2000-2-1 / NT$ 299,8.5,34241
